ID	words	meaning	lx
27	absence	a. 不在,缺席<br>\nn. 缺乏,缺少,缺席	 Please look after my house during my absence./r/n     我不在时，请帮我看房子。/r/n\n We must invent an excuse for our absence./r/n     我们必须为缺席编造一个藉口。/r/n
28	absent	a. 缺席的<br>\nvt. 使缺席	 How many students are absent today?/r/n     今天有多少学生缺席？/r/n\n Why was it that he was absent?/r/n     他为什么缺席呢？/r/n
29	absentminded	a. 心不在焉的,茫然的,恍惚的	
30	absorb	v. 吸收,吸引...的注意,使全神贯注	 His business absorbs him./r/n     他的业务使他全神贯注。/r/n\n The clever boy absorbed all the knowledge his teacher could give him./r/n     那个聪明的男孩把他老师所能教他的所有的知识都吸收了。/r/n
31	absorption	n. 吸收	 I really appreciate his complete absorption in his work./r/n     我很欣赏他对工作的极端专注。/r/n\n A medicine or an agent that induces absorption./r/n     吸收剂导致吸收的药品或药剂/r/n
32	abstract	n. 摘要<br>\na. 抽象的<br>\nv. 摘要,抽炼	 He has some abstract notion of wanting to change the world./r/n     他有一种要改造世界的空想。/r/n\n We may talk of beautiful things, but beauty itself is abstract./r/n     我们尽可谈论美的事物，然而美本身却是抽象的。/r/n
33	absurd	a. 荒唐的	 What an absurd suggestion!/r/n     多荒谬的建议啊！/r/n\n It was absurd of you to suggest such a thing./r/n     你居然建议这样的事，太可笑了。/r/n
34	abundance	n. 丰富,充裕	 There was an abundance of corn last year./r/n     去年玉米丰收。/r/n\n The state of being profuse; abundance./r/n     丰富极其丰富的状态；充沛/r/n
35	abundant	a. 丰富的,充裕的	 There is abundant firewood in the forest./r/n     森林里有充裕的薪柴可用。/r/n\n Our abundant resources and stable policy provide foreigners with the advantages they invest here./r/n     我们丰富的资源和稳定的政策为外商投资提供了有利条件。/r/n
36	academic	a. 学院的,理论的,学术性的	 The new academic year is coming./r/n     新学年就要来了。/r/n\n The question is purely academic./r/n     这是一个纯学术性的问题。/r/n
37	academy	n. 学院,学术,学会	 He is a student in an academy of music./r/n     他是一所音乐学院的学生。/r/n\n A member of an art, literary, or scientific academy or society./r/n     学会会员艺术、文学、科学学会或团体的成员/r/n
38	accelerate	v. 加速	 The car accelerated as it overtook me./r/n     那辆汽车一加速就超越了我./r/n\n The leader is losing ground as the rest of the runners accelerate./r/n     领先者在其余赛跑者加速时就逐渐失去了优势。/r/n
39	acceleration	n. 加速,促进,加速度	
40	accelerator	n. 加速者,加速器,油门	 I pressed the accelerator until the engine screamed./r/n     我猛踩油门踏板，发动机发出了尖利的声音。/r/n\n The brake (pedal) is between the clutch and the accelerator./r/n     制动器（踏板）在离合器和加速器之间./r/n
41	accentuate	v. 以重音念,强调,重读	 The tight jumper only accentuated his fat stomach./r/n     那件紧身套头毛衣反更突出了他那肥胖的肚子./r/n
42	accept	vt.接受,同意,承担(责任等)	 It is generally accepted that smoking is harmful to our health./r/n     吸烟有害健康，这是大家公认的。/r/n\n The police are not allowed to accept rewards./r/n     警察是不允许接受酬金的。/r/n
43	acceptable	a. 合意的,受欢迎的,可接受的	 The solution to this problem is acceptable./r/n     这个问题的解决方案是可接受的。/r/n\n Do you think the proposal is acceptable?/r/n     你认为这个建议可接受吗？/r/n
44	acceptance	n. 接受,容纳,承诺,验证	 Within two days I received a letter of acceptance from the manager./r/n     不到两天，我就收到了经理写来的录取信。/r/n\n The proposal was met with general acceptance./r/n     这建议得到普遍的赞同。/r/n
45	access	n. 通路,进入,使用之权<br>\nv. 存取	 Citizens may have free access to the library./r/n     市民可以免费使用这个图书馆。/r/n\n He is a man of easy access./r/n     他是一个很好接近的人。/r/n
46	accessible	a. 可得到的,易接近的,可进入的	 A manager should be accessible to his staff./r/n     一个管理人员应该让职员感到平易近人。/r/n\n This island is accessible only by boat./r/n     这个小岛只能坐小船去。/r/n
47	accident	n. 事故,意外的事	 We got back without accident./r/n     我们平安无事地回来了。/r/n\n She was injured badly in the accident./r/n     她在事故中受重伤。/r/n
48	accidental	a. 意外的,偶然的	 Our meeting was quite accidental./r/n     我们的相遇是很偶然的。/r/n\n A sequence of events that although accidental seems to have been planned or arranged./r/n     巧合，凑巧虽是偶然的，但似乎是经计划或安排的一系列事件/r/n
49	acclaim	n. 喝采,欢呼,赞同<br>\nv. 欢呼,喝采,称赞	
50	accommodate	v. 使适应,调节,和解	 The cottage could accommodate up to five people./r/n     这间小屋最多能容纳5个人。/r/n\n The bank is accommodating its customers more than it used to./r/n     这家银行现在给客户贷款比以前多了。/r/n
51	accompany	v. 陪伴,带有	 The text is accompanied by illustration./r/n     正文附有插图。/r/n\n Lightning usually accompanies thunder./r/n     闪电通常伴有雷声。/r/n
52	accomplish	v. 完成	 The prediction was literally accomplished./r/n     这个预言确实实现了。/r/n\n I have accomplished a great deal in the last few months./r/n     在过去几个月里，我完成了相当多的工作。/r/n
53	accomplishment	n. 成就	
54	accord	n. 一致,调和,协议，自愿<br>\nvi. (与)一致（accord with）<br>\nvt.使一致，调解；给予，赠予	 He was accorded a warm welcome./r/n     他受到热烈的欢迎。/r/n\n He joined the army of his own accord./r/n     他自愿参军。/r/n
55	accordance	n. 符合,一致	 I sold the house in accordance with your orders./r/n     我按照你的指示售出了这所房子。/r/n\n The mayor must make policies in accordance with the bill passed in the Congress./r/n     市长要根据议会的议案来制定政策。/r/n
56	according	ad. 根据,按照	 According to these figures, our company is doing well./r/n     从这些数字来看，我们的公司经营得不错。/r/n\n The books in the library were distributed according to subjects./r/n     图书馆里的藏书按科目分类。/r/n
57	accordingly	ad. 因此,于是,如前所说 照着 相应地	 I have told you the circumstances, so you must act accordingly./r/n     我已将情况告诉你，所以你必须酌情处理。/r/n\n He was asked to leave the city and accordingly he went./r/n     有人叫他离开该城市，所以他就走了。/r/n
58	account	n. 帐目,报告,估计<br>\nv. 叙述,解释<br>\nn. 利益,好处	 I have an account with Midland Bank./r/n     我在米德兰银行开有户头。/r/n\n He has been asked to account for his conduct./r/n     他被要求解释他的行为。/r/n
59	accountant	n. 会计	 She was defrauded of her money by a dishonest accountant./r/n     她的钱被一个奸诈的会计骗去了。/r/n\n He was deep in conversation with his accountant./r/n     他与会计深入交谈./r/n
60	accounting	n. 会计	
61	accumulate	v. 积聚,堆积	
62	accumulation	n. 积聚,累积,积聚物	
63	accumulator	累加器	
64	accuracy	n. 准确(性),精确度	 It is impossible to say with any accuracy how many are affected./r/n     无论如何也说不准受影响的有多少。/r/n\n I can predict something with great accuracy./r/n     我能很准确地预测某事。/r/n
65	accurate	a. 准确的,精确的	 His report of the event was accurate in every detail./r/n     他对事件的报道，其全部细节都是准确的。/r/n\n Is the station clock accurate?/r/n     火车站的表准吗？/r/n
66	accurately	a. 准确地<br>\nad. 精确地,准确地	 He can speak English fluently and accurately./r/n     他能准确流利地说英语。/r/n\n The engineer in particular must be able to communicate his ideas to others rapidly and accurately./r/n     工程技术人员尤其必须能够迅速而准确地将自己的想法传达给别人。/r/n
67	accusation	n. 控告,指控,非难	 The accusation was that he had murdered his wife./r/n     罪名是他谋杀了他的妻子。/r/n\n The prosecutor brought an accusation of theft against him./r/n     检察官指控他偷窃。/r/n
68	accuse	v. 责备,控告	 He was accused of incompetence./r/n     他被指责为不称职。/r/n
69	accuser	n. 原告,控诉者,非难者	 The accuser brought an accusation against the accused./r/n     原告起诉了被告。/r/n\n They confronted the prisoner with his accusers./r/n     他们让犯人与原告对质。/r/n
70	accustom	v. 使...习惯	 You must accustom yourself to getting up early./r/n     你必须使自己习惯于早起。/r/n\n He had to accustom himself to the cold weather./r/n     他不得不使自己习惯于寒冷的天气。/r/n
71	accustomed	a. 习惯了的	 You will soon get accustomed to the climate here./r/n     你会很快习惯这里的气候的。/r/n\n I am accustomed to hard work./r/n     我已经习惯努力工作了。/r/n
72	ache	n. 痛<br>\nv. 痛,渴望	 I ache all over./r/n     我浑身疼痛。/r/n\n He felt a dull ache in his shoulder./r/n     他感到肩膀隐隐作痛。/r/n
73	achievement	n. 成就,成绩,完成,达到	 Flying across the Atlantic for the first time was a great achievement./r/n     首次飞跃大西洋是一项了不起的业绩。/r/n\n I felt a great sense of achievement when I reached the top of the mountain./r/n     当我到达山顶的时候，我有一种巨大的成就感。/r/n
74	acid	a. 酸的<br>\nn. 酸	 The acid burnt a hole in the carpet./r/n     酸把地毯烧了个洞。/r/n\n Acids react with bases to form salts./r/n     酸与碱反应生成盐。/r/n
75	acidity	n. 酸性,酸度	 Some freshwater fish such as pike can withstand levels of acidity./r/n     一些诸如梭鱼等淡水鱼可以抵御相当程度的酸性。/r/n\n Abnormal acidity of the blood./r/n     酸血症血液中不正常的酸度/r/n
76	acknowledge	v. 承认,答谢,告知收到,确认,报偿	
77	acoustic	a. 美声的，听觉的,音感教育,音响学的	 Opened the show with an acoustic set./r/n     不用电子乐器开始演出/r/n\n An acoustic instrument./r/n     非电传音乐器/r/n
78	acoustics	n. 音响学,音响效果,声学	
79	acquaint	v. 使...熟知	 I am acquainted with her./r/n     我认识她./r/n\n Please acquaint him with my arrival./r/n     请通知他我到了。/r/n
80	acquaintance	n. 熟人,相识	 I have a slight acquaintance with Japanese./r/n     我略通日文。/r/n\n He is my acquaintance./r/n     他是我的熟人。/r/n
81	acquire	v. 获得,取得,学到	 The collector has acquired a fine collection of impressionist paintings./r/n     这位收藏家收集到大量印象派绘画。/r/n\n We admired his intellectual providence to acquire vast stores of dry information./r/n     我们钦佩他收集大量原始资料的远见卓识。/r/n
82	acre	n. 英亩	 We own 100 acres of farmland./r/n     我们拥有一百英亩农田。/r/n\n The house has half an acre of lawn./r/n     这座房子有半英亩草坪./r/n
83	acrobat	n. 杂技演员	 The audience held its/their breath as the acrobat walked along the tightrope./r/n     杂技演员在钢丝绳上表演时，观众们屏息观看。/r/n\n One that tumbles, especially an acrobat or a gymnast./r/n     翻筋斗者翻滚者，尤指杂技演员或体操运动员/r/n
84	acronym	n. 缩写字,字头语	
85	across	ad. 横过<br>\nprep. 穿过,横过	 The two lines cut across each other./r/n     两条线相交。/r/n\n Can you swim across the river?/r/n     你能游到河的对岸吗？/r/n
86	act	n. 行为,行动,法案<br>\nv. 行动,扮演,下判决	 Parliament has passed an Act forbidding the killing of rare animals./r/n     国会通过了一项法令, 禁止捕杀珍稀动物。/r/n\n Think well before you act./r/n     要三思而后行。/r/n
87	ACTH	[缩]肾上腺皮质激素	
88	action	n. 行动,情节,表现,战斗	 Actions speak louder than words./r/n     行动胜于空谈。/r/n\n The action lasted three hours./r/n     战斗持续了三个小时。/r/n
89	activate	v. 刺激,使...活动,创设	
90	activated	激活的	 The burglar alarm was activated by mistake./r/n     防盗铃误响了./r/n
91	activation	n. 激活	
92	active	a. 积极的,主动的	 Vesuvius is an active volcano./r/n     维苏威山是一座活火山。/r/n\n She has an active imagination./r/n     她有灵活的想象力。/r/n
93	activist	n. 活动分子,积极分子	
94	activity	n. 活动	 The center provides facilities for a whole range of leisure activities./r/n     这个中心提供各种娱乐活动设施。/r/n\n There has been a lot of activity in the town today./r/n     今天市中心相当热闹。/r/n
95	actress	n. 女演员	 The actress won overnight fame with her first film./r/n     这个女演员的第一部电影使她一举成名。/r/n\n The actress wore a black wig over her blond hair./r/n     女演员的金发上戴着黑色的假发。/r/n
96	actual	a. 实际的,真实的	
97	actually	ad. 实际上	 Believe it or not, he actually won!/r/n     信不信由你，他真地胜利了！/r/n\n What did he actually say?/r/n     他实际上说了些什么?/r/n
98	actuals	n. 现货	 The actual labour force numbered20820./r/n     实际劳动力有20820人。/r/n\n He told the newspapermen about the conversation, but would not play them the actual tape of it./r/n     他向新闻记者讲了这次谈话的情况，却不愿把实况录音磁带放给他们听。/r/n
99	actuator	执行器	
100	acupressure	n. 针压法	
101	acupuncture	n. 针灸,针治<br>\nv. 施以针灸	
102	acute	a. 敏锐的,激烈的,尖锐的	 This area has an acute shortage of water./r/n     这个地方缺水严重。/r/n\n We agreed with his acute analysis of the political situation./r/n     我们都同意他对政治形势的深刻分析。/r/n
103	AD	abbr. (advertisement的缩写)广告<br>\nn. (缩)广告	
104	adapt	v. 使...适应,改编	 This novel has been adapted for radio from the Russian original./r/n     这部小说已由俄文原著改编成无线电广播节目。/r/n\n She adapted herself quickly to the new climate./r/n     她很快就适应了这种新气候。/r/n
105	adaptability	n. 适应性	
106	adaptation	n. 改编,适应,改编成的作品	
107	adapter	适配器	
108	adaptive	a. 适合的,适应的,能适应的	 Created adaptive clothing for children and young adults with special needs./r/n     为有特殊要求的儿童或年轻人创造适应的布匹/r/n
109	add	v. 增加	 He added some wood to increase the fire./r/n     他加了一些木柴，使火旺些。/r/n\n If you add 4 to 5, you get 9./r/n     四加五等于九。/r/n
110	addend	加数	
111	adder	n. 欧洲产的小毒蛇,北美产的无毒小蛇,加算器	 An adder attacked my father./r/n     一条小毒蛇攻击了我父亲。/r/n
112	addict	v. 使...耽溺,使...上瘾<br>\nn. 耽溺者,上瘾者	 He was addicted to cocaine./r/n     他吸可卡因上瘾/r/n\n There are no lengths to which an addict will not go to obtain his drug./r/n     瘾君子为了得到毒品什麽事都做得出来./r/n
113	addiction	n. 耽溺,上瘾	 An addiction, especially to a narcotic drug./r/n     上瘾上瘾，特别是对毒品上瘾/r/n\n His addiction to drugs propelled him towards a life of crime./r/n     他吸毒成瘾使他走上了犯罪的道路。/r/n
114	addition	n. 增加,附加物,加,加法	
115	additional	a. 附加的,另外的	 He had to pay some additional charges./r/n     他不得不付些附加费。/r/n\n You should know the additional responsibilities that are incidental to the job./r/n     你该知道做这项工作要承担额外责任。/r/n
116	additionally	ad. 另外(加之,又)	
117	additive	n. 附加物(加法)<br>\na. 加添的	
118	address	n. 住址<br>\nn. 致词,讲话<br>\nvt. 发表演说，写地址，（图书、文章等）讨论（某主题）	 He addressed the audience in an eloquent speech./r/n     他向听众发表了雄辩的演说。/r/n\n There is a letter addressed to you./r/n     有封写给你收的信。/r/n
119	addressable	可寻址的	
120	addressee	被访地址	
121	addressing	寻址,访问	 A larger computer storage area, usually used for virtual storage addressing./r/n     一大段计算机存储区，常用于虚拟存储器寻址。/r/n\n I was rather daunted by the thought of addressing such an audience./r/n     我一想到要对这样的听众讲话，就有些胆小。/r/n
122	adenosine	n. 腺苷,腺嘌呤核苷	
123	adept	a. 熟练的,老练的<br>\nn. 名手,专家	 My teacher is adept at designing robots./r/n     我的老师对设计机器人是个内行。/r/n\n Helen is adept in music and her husband is adept in drawing./r/n     海伦精通音乐，而她的丈夫擅长绘画。/r/n
124	adequate	a. 足够的,充足的,适当的,能胜任的	 Their earnings are adequate to their needs./r/n     他们挣的钱够用了。/r/n\n Our accommodation is barely adequate./r/n     我们的住房不太够用。/r/n
125	adhere	v. 附～,粘～	 We should adhere to our opinions./r/n     我们应当坚持我们的意见。/r/n\n Paste is used to make one surface adhere to another./r/n     糨糊是用于使一个接触面粘住另一个接触面的。/r/n
126	adjacency	邻近,邻接	
127	adjacent	a. 毗连的,邻近的,接近的	 His house is adjacent to mine./r/n     他的寓所与我的相毗连。/r/n\n An edge and the area immediately adjacent to it; a border./r/n     边缘，边界边和邻近的区域；边界/r/n
128	adjective	n. 形容词<br>\na. 形容词的,似形容词的	 This is an adjective phrase./r/n     这是个形容词短语。/r/n\n There are more than 5,000 adjectives in that dictionary./r/n     那本词典中有5000多个形容词。/r/n
129	adjoin	v. 邻接,毗连,邻接	 Our house adjoins theirs./r/n     我们的房屋与他们的毗连。/r/n\n Property that adjoins ours./r/n     与我们的地产相毗连的地产/r/n
130	adjust	v. 调整,使...适于	 He adjusted himself very quickly to the heat of the country./r/n     他很快使自己适应了这个国家炎热的天气。/r/n\n This kind of desk can be adjusted to the height you need./r/n     这种书桌的高低可以按照你的需要调节。/r/n
131	administer	v. 管理,治理,执行	 The priest administered the last rites./r/n     神父为人举行临终圣礼。/r/n\n The courts administer the law./r/n     法院执行法律。/r/n
132	administrate	v. 给予,投(药),经营,实施,掌管,料理	
133	administration	n. 行政,管理,中央政府	 The company developed rapidly under his administration./r/n     在他的管理下，公司发展得很快。/r/n\n She has been looking after the ,day-to-day administration./r/n     她一直在照管日常的行政工作./r/n
134	administrative	a. 行政的,管理的	 This job is mainly administrative./r/n     这份工作主要是行政性的。/r/n\n A division of an area, as for administrative purposes./r/n     地区，行政区一个地域的分支，如为了管理的目的/r/n
135	administrator	n. 管理人,行政官	 She is an excellent administrator./r/n     她是个优秀的管理人员。/r/n\n The person was appointed administrator to manage the property of others./r/n     这个人被指定管理他人的财产。/r/n
136	admiration	n. 钦佩,赞赏	 She speaks English so well that her friends are filled with admiration./r/n     她的英语说得好极了，她的朋友都赞美不已。/r/n\n She was ardent in her admiration of the artist./r/n     她非常倾慕那位艺术家。/r/n
137	admire	v. 钦佩,羡慕,赞赏	 She has many admirers./r/n     她有许多追求者。/r/n\n I am not a great admirer of her work./r/n     我对她的工作不太欣赏。/r/n
138	admission	n. 许可,入会费,承认	 He gained admission into this university./r/n     他获准进入这所大学。/r/n\n Do they charge for admission?/r/n     入场要收费吗?/r/n
139	admit	v. 允许进入,承认	 He was admitted to the hospital suffering from burns./r/n     他由于烧伤，被送入医院治疗。/r/n\n This sentence admits of several interpretations./r/n     这个句子可以有多种解释。/r/n
140	Adobe	n. 泥砖,土坯<br>\n美国Adobe公司	
141	adolescent	a. 青春期的,青少年的<br>\nn. 青少年	 My adolescent life./r/n     我的青少年时期/r/n\n Overgrowth is common in adolescents./r/n     青少年成长过快是普遍现象./r/n
142	adopt	v. 采用,收养,接受	 As they had no children of their own, they adopted an orphan./r/n     他们没有亲生儿女，就收养了一个孤儿。/r/n\n Most countries adopt metric system./r/n     大多数国家采用米制。/r/n
143	adoption	n. 采用,采纳,收养	 He was pleased by the adoption of a little girl./r/n     他对收养了一个女孩感到高兴。/r/n\n The list of bill to be consider is headed by the bill on the adoption service./r/n     要考虑的议案一览表上第一项就是关于收养服务的议案。/r/n
144	adore	v. 崇拜,爱慕,喜爱	 The boys adore their mothers./r/n     男孩们敬慕他们的母亲。/r/n\n All the girls in our school adore the handsome mathematics teacher who happens to be a bachelor./r/n     我们学校里所有女孩子都崇拜那个恰巧是单身汉的英俊数学老师。/r/n
145	adrenal	a. 肾上腺的<br>\nn. 肾上腺	
146	adrenalin	n. 肾上腺素	 He kept the adrenalin flowing with off-and-on feuds with his critics./r/n     他断断续续地同评论家们口诛笔伐，使得肝火旺盛。/r/n
147	adult	a. 成年的,成熟的<br>\nn. 成年人	 These films are suitable for adults only./r/n     这些电影只适宜成人观看。/r/n\n His behavior is not particularly adult./r/n     他的举止行为还不太成熟。/r/n
148	adulteration	n. 搀杂,搀假的东西,冒充货	 Characterized by adulteration; spurious./r/n     掺假的以掺假为特征的；伪造的/r/n
149	advance	n. 前进,进步,预支<br>\nv. 前进,增加,上涨	 The report advances the suggestion that safety standards should be improved./r/n     该报告建议安全标准应该改进。/r/n\n It is a popular show, so advance booking is essential./r/n     这是个很受欢迎的演出，所以一定要提前订票。/r/n
150	advanced	a. 高级的,先进的	 The professor is engaged in advanced studies./r/n     该教授正进行高深的学术研究。/r/n\n The regent carried out an advanced system in his country./r/n     摄政者在他的国家推行了一套先进的制度。/r/n
151	advantage	n. 优势,有利条件	 Earthenware has an advantage over wood in being more easily kept clean./r/n     陶器的优点在于比木器更容易保持清洁。/r/n\n Rich has an advantage over you since he can speak German./r/n     理奇比你占优势, 因为他会讲德语。/r/n
152	advantageous	a. 有利的	 For the best; advantageous./r/n     有好处的；有利的/r/n\n It will be advantageous if steps are taken to resume our business relationship on the basis of mutual benefit./r/n     如果我们采取措施在互利的基础上恢复业务关系，对我们都是有利的。/r/n
153	adventure	n. 冒险,奇遇<br>\nv. 大胆进行	 The explorer told the boys about his adventures in the Arctic./r/n     那位探险家把他在北极的冒险活动讲给男孩子 们听。/r/n\n An adventure in dining./r/n     进餐中的奇遇/r/n
154	adverb	a. 副词的<br>\nn. 副词	 It is an adverb./r/n     它是副词。/r/n\n Adverb is used to modify verb, such asquickly" in"she runs quickly"./r/n     副词用来修饰动词，例如：“她快快地跑”中的“快快地”。/r/n"
155	adverse	a. 不利的	 An allergy is an adverse reaction of the body to certain substances./r/n     过敏是身体对某些物质的不良反应。/r/n\n The judge gave us an adverse decision./r/n     法官作出对我们不利的判决。/r/n
156	advertise	vi. 登广告<br>\nv. 为...做广告	 I advertised him of my plan./r/n     我告知他我的计划。/r/n\n We decided to advertise our new product./r/n     我们决定为我们的新产品做广告。/r/n
157	advertisement	n.&ad. 广告	 There are too many TV advertisements in between the program./r/n     这个电视节目中的广告太多了。/r/n\n There are many insertions of advertisement in the newspapers./r/n     报纸上有很多插入的广告。/r/n
158	advice	n. 忠告,劝告	 I asked the teacher for her advice./r/n     我征求这位老师的意见。/r/n\n He gave me some good advice./r/n     他向我提了一些很好的意见。/r/n
159	advisable	a. 明智的,可取的	 It is deemed advisable./r/n     这认为是可取的./r/n\n It will not be advisable so pack this course into your already busy schedule./r/n     把这门课硬排进你本来已经很紧的计划是不明智的。/r/n
160	advise	v. 劝告,通知,与...商量	 The doctor advised (me to take) a complete rest./r/n     医生让（我）完全休息./r/n\n They advised her against marrying quickly./r/n     他们劝她不要太快结婚./r/n
161	adviser	n. 顾问,指导教授,劝告者	 Professor Smith served as special adviser to the President./r/n     史密斯教授曾做过总统的特别顾问。/r/n\n He became her senior adviser her deputy, if you will./r/n     他成了她的高级顾问--你要说是她的副手也未尝不可./r/n
162	advisory	a. 劝告的,顾问的,谘询的	
163	advocate	n. 提倡者,拥护者<br>\nv. 主张,提倡	 He advocates reducing military spending./r/n     他主张削减军费开支。/r/n\n This judge is a strong advocate of prison reform./r/n     这位法官是监狱改革的坚决拥护者。/r/n
164	aerial	a. 空中的,航空的,空想的	 He showed me some aerial photographs./r/n     他给我看了一些空中拍摄的照片。/r/n\n The birds perched on the television aerial./r/n     鸟停在电视天线上./r/n
165	aeroplane	n. 飞机	 An aeroplane droned overhead./r/n     一架飞机在头上嗡嗡飞过。/r/n\n To ride in an aeroplane you have to book in advance./r/n     要乘飞机必须提前定位子。/r/n
166	aerospace	n. 航空宇宙	
167	aesthetic	a. 美学的,审美的,有美感	
168	affair	n. 事件,事情,事务	 Mind your own affairs!/r/n     别管闲事！/r/n\n The party was a dull affair./r/n     这次聚会单调乏味。/r/n
169	affect	v. 影响,作用,感动	 He affected not to hear me./r/n     他假装没有听见我。/r/n\n He was much affected by the sad news./r/n     这个悲惨的消息使他非常难过。/r/n
170	affected	vbl. 影响	 The climate affected his health./r/n     气候影响了他的健康。/r/n\n It is said that the rhythm of tides is affected by the moon./r/n     据说潮汐的涨落受月亮的影响。/r/n
171	affection	n. 慈爱,爱,感情,作用,影响	 Every mother has affection for her children./r/n     每个母亲都爱她的孩子。/r/n\n He is held in affection./r/n     他极为大家所爱戴。/r/n
172	affiliate	n. 联号(联播台,同伙),附属机构,分公司<br>\nvt 合并(使...加入,追源)	
173	affirm	v. 断言,肯定	 I affirm that what he said is true./r/n     我断言他所说的是实情。/r/n\n They affirmed that the girl did quite a bit of reading./r/n     他们断言这个女孩子读了不少书。/r/n
174	affirmative	a. 肯定的,正面的<br>\nn. 肯定语,赞成方面	
175	affix	v. 使...附于,署名,粘贴	 Affix a label to a package./r/n     在包裹上贴张标签/r/n\n Please affix a stamp./r/n     请贴上邮票。/r/n
176	afflict	v. 使苦恼,折磨	 She was afflicted with conscience./r/n     她受良心责备。/r/n\n He was afflicted with cancer./r/n     他患了癌症。/r/n
177	affluent	a. 富裕的<br>\nn. 支流	
178	Africa	n. 非洲	
179	African	a. 非洲的,非洲人的<br>\nn. 非洲人	 Most African people are black people./r/n     大多数非洲人是黑人。/r/n\n He is an African./r/n     他是非洲人。/r/n
180	after	a. 以后的<br>\nad. 以后,后来<br>\nconj. 在...以后<br>\nprep. 在...之后	 I found your coat after you had left the house./r/n     你离开房子之后，我发现了你的外衣。/r/n\n He grew weak in after years./r/n     在以后的几年里，他变得衰弱了。/r/n
181	afternoon	n. 下午	 Good afternoon!/r/n     下午好！/r/n\n Scattered showers are expected this afternoon./r/n     预料今天下午有零星阵雨。/r/n
182	afterward	ad. 后来,以后	 Soon afterward they left./r/n     他们不久以后就离开了。/r/n\n Three days afterward they met at the station./r/n     三天后，他们在车站见面了。/r/n
183	afterwards	ad. 以后,后来	 We saw the play separately and compared notes afterwards./r/n     我们各自看了那出戏, 後来交换了意见./r/n\n Soon afterwards he made his first public statement about the affair./r/n     不久以后，他第一次就这一事件发表了公开声明。/r/n
